Title                                                           02.03.2017 14:24
________________________________________________________________________________

Title
Evaluation Categories:

Curve Name:
  DSC700926_pBTTTketo_10%a, 02.03.2017 13:47:16
  Performed 02.03.2017 13:47:15
Curve Values:
          Index       Abscissa             Ts             Tr          Value
                          [°C]           [°C]           [°C]           [mW]
            463            463          0.000        204.333       -23.2916
            464            464          0.000        204.667       -23.3106
            465            465          0.000        205.000       -23.3228
            466            466          0.000        205.333       -23.3326
            467            467          0.000        205.667       -23.3385
            468            468          0.000        206.000       -23.3432
            469            469          0.000        206.333       -23.3467
            470            470          0.000        206.667       -23.3498
            471            471          0.000        207.000       -23.3516
            472            472          0.000        207.333       -23.3531
            473            473          0.000        207.667       -23.3541
            474            474          0.000        208.000        -23.355
            475            475          0.000        208.333       -23.3556
            476            476          0.000        208.667       -23.3563
            477            477          0.000        209.000        -23.357
            478            478          0.000        209.333       -23.3577
            479            479          0.000        209.667       -23.3583
            480            480          0.000        210.000        -23.359
            481            481          0.000        210.333       -23.3597
            482            482          0.000        210.667       -23.3604
            483            483          0.000        211.000       -23.3612
            484            484          0.000        211.333        -23.362
            485            485          0.000        211.667       -23.3628
            486            486          0.000        212.000       -23.3635
            487            487          0.000        212.333       -23.3643
            488            488          0.000        212.667       -23.3651
            489            489          0.000        213.000       -23.3658
            490            490          0.000        213.333       -23.3666
            491            491          0.000        213.667       -23.3674
            492            492          0.000        214.000       -23.3681
            493            493          0.000        214.333       -23.3688
            494            494          0.000        214.667       -23.3695
            495            495          0.000        215.000       -23.3702
            496            496          0.000        215.333       -23.3709
            497            497          0.000        215.667       -23.3716
            498            498          0.000        216.000       -23.3723
            499            499          0.000        216.333        -23.373
            500            500          0.000        216.667       -23.3738
            501            501          0.000        217.000       -23.3746
            502            502          0.000        217.333       -23.3755
            503            503          0.000        217.667       -23.3764
            504            504          0.000        218.000       -23.3773
            505            505          0.000        218.333       -23.3781
            506            506          0.000        218.667       -23.3789
            507            507          0.000        219.000       -23.3796
            508            508          0.000        219.333       -23.3803
            509            509          0.000        219.667       -23.3811
            510            510          0.000        220.000       -23.3819
            511            511          0.000        220.333       -23.3828
            512            512          0.000        220.667       -23.3837
            513            513          0.000        221.000       -23.3847
            514            514          0.000        221.333       -23.3857
            515            515          0.000        221.667       -23.3867
            516            516          0.000        222.000        -23.388
            517            517          0.000        222.333       -23.3893
            518            518          0.000        222.667       -23.3905
            519            519          0.000        223.000       -23.3917
            520            520          0.000        223.333        -23.393
            521            521          0.000        223.667       -23.3943
            522            522          0.000        224.000       -23.3956
            523            523          0.000        224.333       -23.3969
            524            524          0.000        224.667       -23.3982
            525            525          0.000        225.000       -23.3997
            526            526          0.000        225.333       -23.4014
            527            527          0.000        225.667       -23.4031
            528            528          0.000        226.000       -23.4049
            529            529          0.000        226.333       -23.4069
            530            530          0.000        226.667       -23.4089
            531            531          0.000        227.000       -23.4103
            532            532          0.000        227.333       -23.4088
            533            533          0.000        227.667        -23.408
            534            534          0.000        228.000       -23.4077
            535            535          0.000        228.333       -23.4073
            536            536          0.000        228.667       -23.4078
            537            537          0.000        229.000       -23.4081
            538            538          0.000        229.333       -23.4088
            539            539          0.000        229.667       -23.4097
            540            540          0.000        230.000       -23.4118
            541            541          0.000        230.333       -23.4135
            542            542          0.000        230.667       -23.4153
            543            543          0.000        231.000       -23.4171
            544            544          0.000        231.333       -23.4194
            545            545          0.000        231.667       -23.4214
            546            546          0.000        232.000       -23.4233
            547            547          0.000        232.333       -23.4253
            548            548          0.000        232.667       -23.4275
            549            549          0.000        233.000       -23.4297
            550            550          0.000        233.333       -23.4319
            551            551          0.000        233.667       -23.4345
            552            552          0.000        234.000       -23.4379
            553            553          0.000        234.333       -23.4409
            554            554          0.000        234.667        -23.444
            555            555          0.000        235.000       -23.4471
            556            556          0.000        235.333       -23.4503
            557            557          0.000        235.667       -23.4536
            558            558          0.000        236.000        -23.457
            559            559          0.000        236.333       -23.4604
            560            560          0.000        236.667        -23.464
            561            561          0.000        237.000       -23.4677
            562            562          0.000        237.333       -23.4715
            563            563          0.000        237.667       -23.4753
            564            564          0.000        238.000       -23.4796
            565            565          0.000        238.333       -23.4839
            566            566          0.000        238.667       -23.4882
            567            567          0.000        239.000       -23.4926
            568            568          0.000        239.333       -23.4972
            569            569          0.000        239.667       -23.5015
            570            570          0.000        240.000       -23.5056
            571            571          0.000        240.333       -23.5097
            572            572          0.000        240.667       -23.5134
            573            573          0.000        241.000       -23.5173
            574            574          0.000        241.333        -23.521
            575            575          0.000        241.667       -23.5248
            576            576          0.000        242.000       -23.5287
            577            577          0.000        242.333       -23.5326
            578            578          0.000        242.667       -23.5365
            579            579          0.000        243.000       -23.5407
            580            580          0.000        243.333       -23.5457
            581            581          0.000        243.667       -23.5513
            582            582          0.000        244.000       -23.5568
