,Tr [°C],DSC700929_pBTTTketo_20%a
399,183.0,0.010043954693668589
400,183.333,0.005671911860339662
401,183.667,0.002208678845645906
402,184.0,3.0151705456837874e-05
403,184.333,-0.0006369216276391754
404,184.667,-0.0009554151138919664
405,185.0,-1.7763568394002505e-15
406,185.333,0.0004764354897739409
407,185.667,0.0009416956269516774
408,186.0,0.0014810254900545772
409,186.333,0.001492214478006737
410,186.667,0.0016934349692316886
411,187.0,0.006559357429349433
412,187.333,0.017368057185104036
413,187.667,0.033868003580088235
414,188.0,0.03719327590684873
415,188.333,0.03501224370002998
416,188.667,0.03171368154848686
417,189.0,0.02830106101151575
418,189.333,0.0252930541117502
419,189.667,0.023618748963396108
420,190.0,0.022020992832318065
421,190.333,0.020608768509231545
422,190.667,0.019131485913776558
423,191.0,0.01769135145821643
424,191.333,0.016327666981434064
425,191.667,0.015320172488599404
426,192.0,0.014320416978182315
427,192.333,0.013328029617325043
428,192.667,0.012403088776824056
429,193.0,0.011606469481174386
430,193.333,0.010768136505872938
431,193.667,0.009978514867416521
432,194.0,0.009177789056162844
433,194.333,0.008356267736039591
434,194.667,0.007664730849344714
435,195.0,0.007042655792108832
436,195.333,0.006470703396789901
437,195.667,0.005920016811568729
438,196.0,0.005349349777978851
439,196.333,0.004789723577089511
440,196.667,0.004292652843056466
441,197.0,0.0036061511027378756
442,197.333,0.0029816083659044423
443,197.667,0.0024309190327755914
444,198.0,0.0019113398553498584
445,198.333,0.001344637852199071
446,198.667,0.0009530954696881366
447,199.0,0.0006331961247845186
448,199.333,0.000387092124939592
449,199.667,0.00022746224275937976
450,200.0,-8.881784197001252e-16
451,200.333,-0.00023281443869560547
452,200.667,-0.0004682286248627321
453,201.0,-0.0009317479814985319
454,201.333,-0.0013208196476011125
455,201.667,-0.0017023564551434944
456,202.0,-0.002122665488078823
457,202.333,-0.0029287926557897137
458,202.667,-0.003657252756129381
459,203.0,-0.004445149739564336
460,203.333,-0.005259130683085367
461,203.667,-0.006095314747651237
462,204.0,-0.007271597955790021
463,204.333,-0.008184230949326299
464,204.667,-0.008898939649534476
465,205.0,-0.009464407356580828
466,205.333,-0.010066490674333295
467,205.667,-0.010510524681610178
468,206.0,-0.01046597516176817
469,206.333,-0.009758307077939676
470,206.667,0.04983753293629256
471,207.0,0.06863130140882223
472,207.333,0.058407922620027364
473,207.667,0.04361283598434618
474,208.0,0.033985025135360836
475,208.333,0.02738980119973977
476,208.667,0.022512987242722993
477,209.0,0.01878279879801692
478,209.333,0.017734931441368396
479,209.667,0.016715589491590244
480,210.0,0.015582225176961728
481,210.333,0.014310916125081619
482,210.667,0.013588245511122032
483,211.0,0.012780907052370338
484,211.333,0.011965358031053697
485,211.667,0.01117855808148871
486,212.0,0.010476447204408323
487,212.333,0.009785859939452912
488,212.667,0.00914412998286096
489,213.0,0.008486448413249192
490,213.333,0.007730024630453691
491,213.667,0.0069925639954107055
492,214.0,0.006228513459063834
493,214.333,0.005515454884226223
494,214.667,0.0047414628993101005
495,215.0,0.004130245122025755
496,215.333,0.00354975348094122
497,215.667,0.003048429474728387
498,216.0,0.002629246182302758
499,216.333,0.002220523200768376
500,216.667,0.001891066501836569
501,217.0,0.001523119420069996
502,217.333,0.0011353668238793801
503,217.667,0.0008169767608059431
504,218.0,0.0005194676154909317
505,218.333,0.0002818871304492987
506,218.667,6.376303181010456e-05
507,219.0,-5.410645125270008e-05
508,219.333,-0.00013231309935601843
509,219.667,-0.00013097190498090328
510,220.0,1.7763568394002505e-15
511,220.333,0.00014992762771548485
512,220.667,0.00035682850908713704
513,221.0,0.0005674391866330453
514,221.333,0.000889229932766078
515,221.667,0.0013100458364601053
516,222.0,0.0017560610748139638
517,222.333,0.0022350394406966956
518,222.667,0.0028250207674371808
519,223.0,0.0034017650679238898
520,223.333,0.003983255554883769
521,223.667,0.004597652705400357
522,224.0,0.005210450569347103
523,224.333,0.00580977767870916
524,224.667,0.006413841053729108
525,225.0,0.006968016982456859
526,225.333,0.00741050521554687
527,225.667,0.007859485215798045
528,226.0,0.008230363710640454
529,226.333,0.008611337568779298
530,226.667,0.009000484594995584
531,227.0,0.009353390157269992
532,227.333,0.009728174141787171
533,227.667,0.010112738594692416
534,228.0,0.010402995725728559
535,228.333,0.010786914337947984
536,228.667,0.011052146618272474
537,229.0,0.01118507981939132
538,229.333,0.011243457560638603
539,229.667,0.011154608069112726
540,230.0,0.010995541841644751
541,230.333,0.010763703213243048
542,230.667,0.010476022350593084
543,231.0,0.00994028119586332
544,231.333,0.009353550699140456
545,231.667,0.00869228886609541
546,232.0,0.007905197285426269
547,232.333,0.007068899421708963
548,232.667,0.006209307018997023
549,233.0,0.005256189513717757
550,233.333,0.004235648784323587
551,233.667,0.00572297621267559
552,234.0,0.006739157284110675
553,234.333,0.0054296981903707575
554,234.667,0.0032991958505146357
555,235.0,-1.4210854715202004e-14
556,235.333,-0.003182679700421076
557,235.667,-0.006343135142401479
558,236.0,-0.009715274719418687
559,236.333,-0.013652763004035506
560,236.667,-0.01768029054819209
561,237.0,-0.021840226391445228
562,237.333,-0.02602700254366752
563,237.667,-0.03123609492469548
564,238.0,-0.036478306317576425
565,238.333,-0.04241884962079645
566,238.667,-0.04862399957339569
567,239.0,-0.059322965799299965
568,239.333,-0.07287175553691405
569,239.667,-0.07971745579577494
570,240.0,-0.08501765613809731
571,240.333,-0.09023917159350425
572,240.667,-0.09595991489332079
573,241.0,-0.10248582863545685
574,241.333,-0.10982454909204442
575,241.667,-0.11780482816751814
576,242.0,-0.12589093459286183
577,242.333,-0.13435133933402454
578,242.667,-0.14312564691984875
579,243.0,-0.15276642531179263
580,243.333,-0.1625729936209268
581,243.667,-0.1727958224517998
582,244.0,-0.1834157520937385
583,244.333,-0.19509296325423975
584,244.667,-0.20672880606485222
585,245.0,-0.2187723662401826
586,245.333,-0.2316246995354465
587,245.667,-0.24554804906049554
588,246.0,-0.26064971905261203
589,246.333,-0.2764116537660275
590,246.667,-0.29292700274021044
591,247.0,-0.31017126183250454
592,247.333,-0.3270772772474686
593,247.667,-0.344199118405486
594,248.0,-0.36156044588135217
595,248.333,-0.3818950212812595
596,248.667,-0.40342784735780235
597,249.0,-0.4260807225006342
598,249.333,-0.4493883371688838
599,249.667,-0.4734866408986438
600,250.0,-0.5000155429918394
601,250.333,-0.5275406762118191
602,250.667,-0.5556989503295
603,251.0,-0.5847083586564512
604,251.333,-0.613995489711554
605,251.667,-0.6439182269518486
606,252.0,-0.6753226207959528
607,252.333,-0.7073162289695798
608,252.667,-0.7395479220671817
609,253.0,-0.7718017807118294
610,253.333,-0.8038063452873683
611,253.667,-0.8351414869769815
612,254.0,-0.8635092897055667
613,254.333,-0.8904792899664162
614,254.667,-0.9148923729827256
615,255.0,-0.9364585990786463
616,255.333,-0.9468885143082009
617,255.667,-0.9500640313859101
618,256.0,-0.9427131601325591
619,256.333,-0.9268874696142095
620,256.667,-0.8910699134880069
621,257.0,-0.8467764241687785
622,257.333,-0.7922996071859263
623,257.667,-0.7317434705905121
624,258.0,-0.6618118424888007
625,258.333,-0.5919983783248313
626,258.667,-0.5235781539949063
627,259.0,-0.4578428663941043
628,259.333,-0.40063723433241805
629,259.667,-0.3482574150026707
630,260.0,-0.3017329471861725
631,260.333,-0.25844962651016523
632,260.667,-0.2244947049152941
633,261.0,-0.19430553616649782
634,261.333,-0.1671490061595584
635,261.667,-0.14216347503425908
636,262.0,-0.12181408463655607
637,262.333,-0.10274882458208445
638,262.667,-0.08506717666105068
639,263.0,-0.06764204389783579
640,263.333,-0.0532625330792218
641,263.667,-0.04036926109715466
642,264.0,-0.02893286525182681
643,264.333,-0.01818358295246192
644,264.667,-0.008523179644052803
645,265.0,-1.7763568394002505e-15
646,265.333,0.007064737101915242
647,265.667,0.013208923106823534
648,266.0,0.017087504093980854
649,266.333,0.01993891815587112
650,266.667,0.021470074707549358
651,267.0,0.02251821341781124
652,267.333,0.0221006234248744
653,267.667,0.021703082478444102
654,268.0,0.0208850978970041
655,268.333,0.01968282283443834
656,268.667,0.01744091634502354
657,269.0,0.015171127457085376
658,269.333,0.013018486310087951
659,269.667,0.010736546232815058
660,270.0,0.008089272023569904
661,270.333,0.0054505837773426435
662,270.667,0.00270294206733368
663,271.0,-0.00013749847801669546
664,271.333,-0.0030879148382769728
665,271.667,-0.006186926225899114
666,272.0,-0.009416214122154543
667,272.333,-0.012734039611251191
668,272.667,-0.016100088721362482
669,273.0,-0.019523904983328677
670,273.333,-0.022984820616063217
671,273.667,-0.02645357549353733
672,274.0,-0.029947601136012025
673,274.333,-0.03315728792718531
674,274.667,-0.03648441661690249
675,275.0,-0.03975433265468631
676,275.333,-0.04299847161910009
677,275.667,-0.045739642165935734
678,276.0,-0.04865112961383211
679,276.333,-0.051555401766288256
680,276.667,-0.05445628221511889
681,277.0,-0.05683502208793101
682,277.333,-0.0594551084432311
683,277.667,-0.06207136683893033
684,278.0,-0.06464304015146105
685,278.333,-0.06711462172440541
686,278.667,-0.06959192611185117
687,279.0,-0.07153221387889808
688,279.333,-0.07315097168429396
689,279.667,-0.07333499010835887
690,280.0,-0.07386957334472832
691,280.333,-0.07465118839737173
692,280.667,-0.07542758890293655
693,281.0,-0.07579214862342809
694,281.333,-0.07633230193812146
695,281.667,-0.07696675257006191
696,282.0,-0.07761696978947619
697,282.333,-0.07788134238102451
698,282.667,-0.07822951118421351
699,283.0,-0.07860106691735425
700,283.333,-0.07914533980055616
701,283.667,-0.07915289481987209
702,284.0,-0.07916147008153906
703,284.333,-0.08099132427119571
704,284.667,-0.08722393355151858
705,285.0,-0.10546520935651493
706,285.333,-0.10536632586742911
707,285.667,-0.09659965745363053
708,286.0,-0.08664931481675708
709,286.333,-0.07901737466373149
710,286.667,-0.07226709660068842
711,287.0,-0.06425081653674702
712,287.333,-0.05248150073458113
713,287.667,-0.0398232810671697
714,288.0,-0.0323867445909638
715,288.333,-0.02667573415446256
716,288.667,-0.021485240927557214
717,289.0,-0.01631412905388885
718,289.333,-0.010877104997851106
719,289.667,-0.005550006256331841
720,290.0,1.7763568394002505e-15
721,290.333,
722,290.667,
723,291.0,
724,291.333,
725,291.667,
726,292.0,
727,292.333,
728,292.667,
729,293.0,
730,293.333,
731,293.667,
732,294.0,
733,294.333,
734,294.667,
735,295.0,
736,295.333,
737,295.667,
738,296.0,
739,296.333,
740,296.667,
741,297.0,
742,297.333,
743,297.667,
744,298.0,
745,298.333,
746,298.667,
747,299.0,
748,299.333,
749,299.667,
750,300.0,
751,300.333,
752,300.667,
753,301.0,
754,301.333,
755,301.667,
756,302.0,
757,302.333,
758,302.667,
759,303.0,
760,303.333,
761,303.667,
762,304.0,
763,304.333,
764,304.667,
765,305.0,
766,305.333,
767,305.667,
768,306.0,
769,306.333,
770,306.667,
771,307.0,
772,307.333,
773,307.667,
774,308.0,
775,308.333,
776,308.667,
777,309.0,
778,309.333,
779,309.667,
780,310.0,
781,310.333,
782,310.667,
783,311.0,
784,311.333,
785,311.667,
786,312.0,
787,312.333,
788,312.667,
789,313.0,
790,313.333,
791,313.667,
792,314.0,
793,314.333,
794,314.667,
795,315.0,
796,315.333,
797,315.667,
798,316.0,
799,316.333,
800,316.667,
801,317.0,
802,317.333,
803,317.667,
804,318.0,
805,318.333,
806,318.667,
807,319.0,
808,319.333,
809,319.667,
810,320.0,
811,320.333,
812,320.667,
813,321.0,
814,321.333,
815,321.667,
816,322.0,
817,322.333,
818,322.667,
819,323.0,
820,323.333,
821,323.667,
822,324.0,
823,324.333,
824,324.667,
825,325.0,
826,325.333,
827,325.667,
828,326.0,
829,326.333,
830,326.667,
831,327.0,
832,327.333,
833,327.667,
834,328.0,
835,328.333,
836,328.667,
837,329.0,
838,329.333,
839,329.667,
840,330.0,
841,330.333,
842,330.667,
843,331.0,
844,331.333,
845,331.667,
846,332.0,
847,332.333,
848,332.667,
849,333.0,
850,333.333,
851,333.667,
852,334.0,
853,334.333,
854,334.667,
855,335.0,
856,335.333,
857,335.667,
858,336.0,
859,336.333,
860,336.667,
861,337.0,
862,337.333,
863,337.667,
864,338.0,
865,338.333,
866,338.667,
867,339.0,
868,339.333,
869,339.667,
